SHARECLASS_ID,SHARECLASS_NAME,FUND_NAME,SHARE_CLASS_COUNTER,FUND_FAMILY_NAME,MSTAR_CATEGORY_NAME,MSTAR_GLOB_CATEGORY_NAME,MSTAR_BROAD_CATEGORY,COMMON_SOURCE_SYSTEM,RETURN_NET_1M,RETURN_NET_2M,RETURN_NET_3M,RETURN_NET_6M,RETURN_NET_1Y,RETURN_NET_2Y,RETURN_NET_3Y,RETURN_NET_4Y,RETURN_NET_5Y
FVUSA04ADJ                    ,1290 VT Socially Responsible Portfolio Class IA,1290 VT Socially Responsible Portfolio,1,AXA Equitable       ,Large Blend,US Equity Large Cap Growth,EQUITY,FO_USA,2.32,4.73,4.49,8.61,22.82,11.81,9.8,11.49,14.95
FVUSA001AQ                    ,1290 VT Socially Responsible Portfolio Class IB,1290 VT Socially Responsible Portfolio,2,AXA Equitable       ,Large Blend,US Equity Large Cap Growth,EQUITY,FO_USA,2.36,4.73,4.49,8.59,22.83,11.83,9.82,11.49,14.95
F00000M8U5                    ,ABC-CA CSI 300 Index Equity Fund,ABC-CA CSI 300 Index Equity Fund,1,ABC-CA Fund Mgmt Co.,Equity Funds,Greater China Equity,Equity,ASIA-PACIFIC,4.04,4.47,6.89,17.54,21.14,8.27,17.99,15.28,13.59
F00000N9TF                    ,ABC-CA CSI 500 Index Equity Fund,ABC-CA CSI 500 Index Equity Fund,1,ABC-CA Fund Mgmt Co.,Equity Funds,Greater China Equity,Equity,ASIA-PACIFIC,-0.72,1.11,3.59,5.16,0.7,-3.88,7.83,13.23,13.82
F0000000IA                    ,ABF Hong Kong Bond Index Fund,ABF Hong Kong Bond Index Fund,1,HSBC Investment Fund,HKD Bond,Asia Fixed Income,Fixed Income,FE_ALL,-0.5,-1.27,-0.9,-0.63,-1.34,0.47,1.12,1.2,0.54
F000000AFM                    ,ABF Malaysia Bond Index,ABF Malaysia Bond Index,1,AmFunds Management B,Bonds - Malaysia,Malaysia Fixed Income,Fixed Income,FE_ALL,-0.3,0.11,0.79,1.89,1.65,3.83,3.51,3.3,3.1
F0000000I9                    ,ABF Pan Asia Bond Index,ABF Pan Asia Bond Index,1,State Street Global ,Asia Bond - Local Currency,Asia Fixed Income,Fixed Income,FE_ALL,-0.28,-0.57,-0.04,2.59,-0.02,2.35,0.2,0.67,0.33
F0000026RB                    ,ABF Philippines Bond Index Fund,ABF Philippines Bond Index Fund,1,BPI Asset Management,Other Bond,Other Fixed Income,Fixed Income,ASIA-PACIFIC,-0.29,0.09,0.6,1.63,-0.89,0.96,1.76,1.62,3.66
F0HKG070AD                    ,ABF Singapore Bond Index Fd,ABF Singapore Bond Index Fd,1,Nikko Asset Manageme,SGD Bond,Asia Fixed Income,Fixed Income,FE_ALL,-0.03,-0.4,-0.22,0.33,-0.01,2.67,2.18,2.04,1.21
F00000UJFD                    ,ACTIAM Responsible Index Fund Equity - Europe,ACTIAM Responsible Index Fund Equity - Europe,1,ACTIAM N.V.         ,Europe Large-Cap Blend Equity,Europe Equity Large Cap,Equity,EUROPE,1.86,5.82,5,4.11,20.28,6.35,8.72,8.5,11.04
F00000UJFG                    ,ACTIAM Responsible Index Fund Equity - North America,ACTIAM Responsible Index Fund Equity - North America,1,ACTIAM N.V.         ,US Large-Cap Blend Equity,US Equity Large Cap Blend,Equity,EUROPE,3.7,6.62,5.99,1.79,15.57,10.28,12.63,15.81,16.59
F00000UJFH                    ,ACTIAM Responsible Index Fund Equity - North America - A,ACTIAM Responsible Index Fund Equity - North America - A,1,ACTIAM N.V.         ,US Large-Cap Blend Equity,US Equity Large Cap Blend,Equity,EUROPE,3.69,6.6,5.94,1.76,15.59,10.26,12.62,15.81,16.59
F00000UJFI                    ,ACTIAM Responsible Index Fund Equity - North America - B,ACTIAM Responsible Index Fund Equity - North America - B,1,ACTIAM N.V.         ,US Large-Cap Blend Equity,US Equity Large Cap Blend,Equity,EUROPE,3.7,6.62,5.99,1.79,15.57,10.27,12.62,15.8,16.58
F00000UJFF                    ,ACTIAM Responsible Index Fund Equity - Pacific,ACTIAM Responsible Index Fund Equity - Pacific,1,ACTIAM N.V.         ,Asia-Pacific inc. Japan Equity,Asia Equity,Equity,EUROPE,5.21,6.67,5.89,3.53,11.14,8.64,10.18,9.87,11.8
F00000IRZ9                    ,AEGON Duurzaam Index Aandelen Fonds,AEGON Duurzaam Index Aandelen Fonds,1,Aegon Investment Man,Global Large-Cap Blend Equity,Global Equity Large Cap,Equity,EUROPE,3.72,7.15,7.13,5.4,21.87,11.21,11.03,11.84,13.27
F00000IRZ5                    ,AEGON Europa Index Aandelen Fonds,AEGON Europa Index Aandelen Fonds,1,Aegon Investment Man,Europe Large-Cap Blend Equity,Europe Equity Large Cap,Equity,EUROPE,1.99,5.93,5.11,3.82,20.13,6.04,8.41,8.15,10.76
F000005OVB                    ,Aegon International UK Index Tracker A,AEGON International UK Index Tracker,1,AEGON Ireland       ,UK Large-Cap Blend Equity,UK Equity Large Cap,Equity,EUROPE,1.76,1.59,2.45,5.13,12.1,11.6,8.32,6.11,8.85
F000005OVW                    ,Aegon International UK Index Tracker B,AEGON International UK Index Tracker,2,AEGON Ireland       ,UK Large-Cap Blend Equity,UK Equity Large Cap,Equity,EUROPE,1.88,1.76,2.69,5.52,12.93,12.12,8.9,6.72,9.51
F00000IRZ7                    ,AEGON Wereld Index Aandelen Fonds,AEGON Wereld Index Aandelen Fonds,1,Aegon Investment Man,Global Large-Cap Blend Equity,Global Equity Large Cap,Equity,EUROPE,3.71,6.39,6.05,3.56,16.46,9.57,10.86,12.28,13.33
F00000MM7Z                    ,AGFiQ U.S. Market Neutral Anti-Beta Fund,AGFiQ U.S. Market Neutral Anti-Beta Fund,1,QuantShares         ,Market Neutral,Market Neutral,Alternative,FE_ALL,0.38,-3.55,-3.05,-3.59,-9.55,-1.97,-0.41,-0.39,-3.51
