SHARECLASS_ID,SHARECLASS_NAME,FUND_NAME,CATEGORY,SHARPE_RATIO_1Y,SHARPE_RATIO_3Y,SHARPE_RATIO_5Y,BETA_1Y,BETA_3Y,BETA_5Y,INFO_RATIO_3Y,INFO_RATIO_5Y
FVUSA04ADJ                    ,1290 VT Socially Responsible Portfolio Class IA,1290 VT Socially Responsible Portfolio,Equity,4.92,0.89,1.43,0.85,0.97,0.97,-0.78,-0.40272
FVUSA001AQ                    ,1290 VT Socially Responsible Portfolio Class IB,1290 VT Socially Responsible Portfolio,Equity,4.86,0.89,1.43,0.86,0.97,0.97,-0.78,-0.40147
F00000M8U5                    ,ABC-CA CSI 300 Index Equity Fund,ABC-CA CSI 300 Index Equity Fund,Equity,1.82,0.71,0.61,1.16,1.01,1.04,0.79,0.72641
F00000N9TF                    ,ABC-CA CSI 500 Index Equity Fund,ABC-CA CSI 500 Index Equity Fund,Equity,0.02,0.38,0.59,0.87,0.88,0.94,-0.23,0.23188
F0000000IA                    ,ABF Hong Kong Bond Index Fund,ABF Hong Kong Bond Index Fund,Equity,-0.79,0.21,0.04,0.84,0.86,<null>,-1.99,<null>
F000000AFM                    ,ABF Malaysia Bond Index,ABF Malaysia Bond Index,Equity,0.15,0.92,0.96,1.02,<null>,<null>,<null>,<null>
F0000000I9                    ,ABF Pan Asia Bond Index,ABF Pan Asia Bond Index,Equity,-0.16,-0.04,0,1,1.17,<null>,-0.58,<null>
F0000026RB                    ,ABF Philippines Bond Index Fund,ABF Philippines Bond Index Fund,Equity,-0.47,0.28,0.55,0.8,0.92,<null>,-0.66,<null>
F0HKG070AD                    ,ABF Singapore Bond Index Fd,ABF Singapore Bond Index Fd,Equity,-0.32,0.43,0.21,1.05,<null>,<null>,<null>,<null>
F00000UJFD                    ,ACTIAM Responsible Index Fund Equity - Europe,ACTIAM Responsible Index Fund Equity - Europe,Equity,2.52,0.73,0.99,1,1,1,1.68,1.43893
F00000UJFG                    ,ACTIAM Responsible Index Fund Equity - North America,ACTIAM Responsible Index Fund Equity - North America,Equity,1.58,1.06,1.52,1.98,0.89,0.79,0.25,0.17382
